iso code,continent,location,total cases,total deaths,total cases per million,total deaths per million,death rate,population,infection rate,median age,aged 65 older,gdp per capita,handwashing facilities,hospital beds per thousand,life expectancy
PYF,Oceania,French Polynesia,46382,636,164164,2251,0.014,282534,0.164,32.7,7.8,,,,77.7
GAB,Africa,Gabon,41798,288,18342,126,0.007,2278829,0.018,23.1,4.5,16562.4,,6.3,66.5
GMB,Africa,Gambia,10170,343,4089,138,0.034,2486937,0.004,17.5,2.3,1561.8,7.9,1.1,62.1
GEO,Asia,Georgia,934741,13800,234873,3468,0.015,3979773,0.235,38.7,14.9,9745.1,,2.6,73.8
DEU,Europe,Germany,7193186,112111,85735,1336,0.016,83900471,0.086,46.6,21.5,45229.2,,8,81.3
GHA,Africa,Ghana,142986,1295,4506,41,0.009,31732128,0.005,21.1,3.4,4227.6,41,0.9,64.1
GIB,Europe,Gibraltar,8701,100,258259,2968,0.011,33691,0.258,,,,,,79.9
GRC,Europe,Greece,1210853,20790,116757,2005,0.017,10370747,0.117,45.3,20.4,24574.4,,4.2,82.2
GRL,North America,Greenland,2611,1,45913,18,0,56868,0.046,,,,,,71.7
GRD,North America,Grenada,6181,200,54692,1770,0.032,113015,0.055,29.4,7.3,13593.9,,3.7,72.4
GTM,North America,Guatemala,628359,16107,34431,883,0.026,18249868,0.034,22.9,4.7,7423.8,76.7,0.6,74.3
GIN,Africa,Guinea,32051,391,2375,29,0.012,13497237,0.002,19,3.1,1998.9,17.5,0.3,61.6
GNB,Africa,Guinea-Bissau,6484,149,3217,74,0.023,2015490,0.003,19.4,3,1548.7,6.4,,58.3
GUY,South America,Guyana,39573,1054,50072,1334,0.027,790329,0.05,26.3,5.3,7435,77.2,1.6,69.9
HTI,North America,Haiti,25985,766,2251,66,0.029,11541683,0.002,24.3,4.8,1653.2,22.9,0.7,64
HND,North America,Honduras,379402,10433,37703,1037,0.027,10062994,0.038,24.9,4.7,4541.8,84.2,0.7,75.3
HKG,Asia,Hong Kong,12649,213,1675,28,0.017,7552800,0.002,44.8,16.3,56054.9,,,84.9
HUN,Europe,Hungary,1256415,39186,130412,4067,0.031,9634162,0.13,43.4,18.6,26777.6,,7,76.9
ISL,Europe,Iceland,27059,37,78807,108,0.001,343360,0.079,37.3,14.4,46483,,2.9,83
IND,Asia,India,34861579,481486,25019,346,0.014,1393409033,0.025,28.2,6,6426.7,59.6,0.5,69.7
IDN,Asia,Indonesia,4262720,144094,15424,521,0.034,276361788,0.015,29.3,5.3,11188.7,64.2,1,71.7
IRN,Asia,Iran,6194401,131606,72851,1548,0.021,85028760,0.073,32.4,5.4,19082.6,,1.5,76.7
IRQ,Asia,Iraq,2093740,24158,50844,587,0.012,41179351,0.051,20,3.2,15664,94.6,1.4,70.6
IRL,Europe,Ireland,788559,5912,158253,1186,0.007,4982904,0.158,38.7,13.9,67335.3,,3,82.3
IMN,Europe,Isle of Man,13641,67,159712,784,0.005,85410,0.16,,,,,,81.4
ISR,Asia,Israel,1383932,8243,148954,887,0.006,9291000,0.149,30.6,11.7,33132.3,,3,83
ITA,Europe,Italy,6125683,137402,101473,2276,0.022,60367471,0.101,47.9,23,35220.1,,3.2,83.5
JAM,North America,Jamaica,93920,2473,31586,832,0.026,2973462,0.032,31.4,9.7,8193.6,66.4,1.7,74.5
JPN,Asia,Japan,1732296,18389,13743,146,0.011,126050796,0.014,48.2,27,39002.2,,13.1,84.6
JOR,Asia,Jordan,1047953,12372,102050,1205,0.012,10269022,0.102,23.2,3.8,8337.5,,1.4,74.5
KAZ,Asia,Kazakhstan,1072518,18211,56463,959,0.017,18994958,0.056,30.6,7,24055.6,99,6.7,73.6
KEN,Africa,Kenya,295028,5378,5366,98,0.018,54985702,0.005,20,2.7,2993,24.7,1.4,66.7
KIR,Oceania,Kiribati,2,,16,,0,121388,0,23.2,3.9,1981.1,,1.9,68.4
OWID_KOS,Europe,Kosovo,161484,2990,90614,1678,0.019,1782115,0.091,,,9795.8,,,
KWT,Asia,Kuwait,417135,2468,96368,570,0.006,4328553,0.096,33.7,2.3,65530.5,,2,75.5
KGZ,Asia,Kyrgyzstan,184689,2802,27864,423,0.015,6628347,0.028,26.3,4.5,3393.5,89.2,4.5,71.5
LAO,Asia,Laos,111060,372,15050,50,0.003,7379358,0.015,24.4,4,6397.4,49.8,1.5,67.9
